REGISTRATION DATE,EVENT,DOJO NAME,DOJO LOCATION ADDRESS,DOJO LOCATION TOWN/CITY,STYLE(S) PRACTICED,HEAD INSTRUCTOR FIRST NAME
2023-01-18 10:02,Active Club,Arun Martial Arts,6415 Erin Mills Parkway  #B03,Mississauga,Shito Ryu,Arun
2023-09-14 17:55,Active Club,Caledon Karate,150 Queen St South,Bolton,Shotokan,Vincenzo
2023-01-21 18:52,Active Club,Classical Martial Arts Centre Yamazakura Dojo,2 Wembley Road,Toronto,Goju Ryu,Simonetta
2023-01-07 20:06,Active Club,Dai JuSan GKK Canada,4390 Concession 4 S,Amherstburg,Goju Ryu,Paul
2023-01-03 17:21,Active Club,Diamond Karate Academy,45 Heritage Street,Bradford,Shotokan,ALEKSANDAR
2023-01-11 14:29,Active Club,Ferris Family Karate,540 Lakeshore Drive,North Bay,Shotokan,Adam
2023-08-18 22:34,Active Club,Joe Gallay,96 Pheasant Drive,Bolton,Chito Ryu Shotokan,JohnCarlo
2023-05-02 15:52,Active Club,Kapuskasing shotokan karat�,�cole Jacques Cartier 8chemin Brunelle sud,Kapuskasing,Shotokan,Paul
2023-08-22 18:57,Active Club,KOC,1264 Victoria Street North,Kitchener,Shito Ryu,Samira
2023-06-19 13:17,Active Club,Lao Karate Do,1557 Pelhanm Street North  Holy Trinity Angelican Church,Fonthill  ,Shotokan,Wenceslao
2023-10-01 23:35,Active Club,LONDON KARATE CENTRE,247 Adelaide St S,London,Shito Ryu,Viktoriya
2023-01-21 13:26,Active Club,NORTH TORONTO KARATE SCHOOL HIGH PARK,2233 Dundas St West,Toronto  ,Shito Ryu Shotokan,Rose
2023-09-19 19:45,Active Club,Silent Tiger Martial Arts,11 temperance st,Bowmanville ,,Ryan
2023-10-12 12:16,Active Club,Special Olympics Burlington,3005 Headon Forest Drive,Burlington,Shotokan,Blake
2023-10-12 11:38,Active Club,Tora Karate,1295 Williams Parkway,Brampton,Wado Ryu,Michael
2022-12-28 11:32,Active Club,Toronto West End Wado,50 Sousa Mendes Street,Toronto,Wado Ryu,Domenico
2022-12-01 10:26,Active Club,Shiva Fighters Karate Do,Unit:56 - 2720 North Park Drive,Brampton,Shito Ryu,Giselle
2022-12-01 15:40,Active Club,6Tigers Academy,1142 Johnston Clapp Lane  Unit A,Manotick,Shotokan,Janet
2022-12-02 14:39,Active Club,Paterson's Karate Works,1996 Itabashi Way,Burlington,Goju Ryu Shotokan Wado Ryu,Blake
2022-12-03 18:13,Active Club,Jennings Karate,16 John Street West ,Bradford,Shotokan,Jim
2022-12-04 9:41,Active Club,Shindokan Canada Club,2 Allaura blvd  Unit #4,Aurora,Shotokan,Albert
2022-12-08 10:44,Active Club,Kazoku Martial Arts Centre,175-2 Beverly St.,Cambridge,Goju Ryu,James
2022-12-08 20:46,Active Club,Karate Hearst,P.O. Box 1705,Hearst,Shotokan,Andre
2022-12-08 21:08,Active Club,Kaizen Martial Arts,284 Orenda Rd unit 10A,Brampton,Goju Ryu Shito Ryu Shotokan Wado Ryu,Rob
2022-12-09 12:37,Active Club,Panacea Martial Arts and Fitness,1201 BRITANIA RD WEST  UNIT 7G,Mississauga,,Amr
2022-12-09 13:13,Active Club,Pride Martial Arts,40 West 5th Street,Hamilton,Shotokan,Karim
2022-12-12 15:20,Active Club,Driftwood Martial Arts Inc.,1-1624 HIghland Road,Kitchener,Goju Ryu,Adette
2022-12-12 19:06,Active Club,Midori Ishi Kai Martial Arts,8440 Hwy 11,Geraldton  ,Shotokan,Lynnea
2022-12-16 10:59,Active Club,Shamuon Generation of Martial Arts,550 Parkside Dr Unit D3,Waterloo,,Tom
2022-12-16 11:01,Active Club,Dojo Seienchin,1546 Limberlost rd.,London,Shito Ryu,Veronica
2022-12-16 11:24,Active Club,KarateDo Shotokan YNKD,281 Lakeshore Rd. East,Mississauga,Shotokan,Dragan
2022-12-16 13:02,Active Club,Charles Fink Karate Dojo,3000 Falconbridge Hwy,Garson,Goju Ryu,Charles
2022-12-16 14:50,Active Club,Senshuken MAA,39-16945 Leslie St,Newmarket,Shotokan,Saeed
2022-12-16 16:16,Active Club,Bernardo Karate,1165 Oxford st east,London,Shotokan,Michael
2022-12-16 16:25,Active Club,SKIF A.Karate Inc.,2233 Hurontario St,Mississauga,Shotokan,Antonio
2022-12-16 18:52,Active Club,Peterborough Shitokai,527 Garbutt Terrace,Peterborough  ,Shito Ryu,Sam
2022-12-17 8:14,Active Club,Desjardins Family Karate,306 Church Street,Penetanguishene,Shito Ryu,Ken
2022-12-17 13:12,Active Club,North Toronto Karate School,370 Eglinton Ave West,Toronto,Shotokan,Michael
2022-12-17 13:45,Active Club,Brad Jones Karate Do,244,Newmarket,Shotokan,Brad
2022-12-17 17:34,Active Club,York Centre Karate,580 Finch Ave West,Toronto,,Oleg
2022-12-18 14:26,Active Club,Kanmuri North,20 Grosvenor St,Toronto,null,Nader
2022-12-19 10:35,Active Club,High Park Martial Arts,3094 Dundas St. W. Toronto,Toronto,Goju Ryu,Martin
2022-12-21 9:56,Active Club,Bernardo Karate South,1106 dearness drive,london,,michael
2022-12-21 15:59,Active Club,Ottawa School of Karate,Unit 2 - 4 Lorry Greenberg Drive,Ottawa,Shotokan,John
2022-12-22 12:12,Active Club,Long Sault Karate,50 Mille Roches Rd.,Long Sault,,Mike
2022-12-23 11:20,Active Club,Conestoga Karate,330 Manitou Dr,Kitchener,Shito Ryu,Mike
2022-12-23 13:24,Active Club,Seikikai Martial Arts,590 Rathburn Road,Etobicoke,Shito Ryu Wado Ryu,Steve
2022-12-27 9:51,Active Club,Japan Karate Do Kenseikan Canada,2467 Eglinton Avenue East,Scarborough,Shotokan,Nandana
2022-12-28 14:16,Active Club,Bernardo karate Strathroy,28592 centre road,Strathroy,,Michael
2022-12-28 19:03,Active Club,Douvris Orleans,1585 Tenth Line Road,Ottawa,,Ben
2022-12-28 20:36,Active Club,Douvris Barrhaven,220 Terence Mathew Cres,Ottawa,Chito Ryu,John
2022-12-28 20:39,Active Club,Douvris OAC,2525 Lancaster Road,Ottawa,Chito Ryu,Nick
2022-12-28 20:41,Active Club,Douvris Martial Arts,1270 Bank St.,Ottawa,,John
2022-12-28 21:08,Active Club,Jiyu-Shin Karate School,1421 Lansdowne St W,Peterborough,Chito Ryu,John
2022-12-28 23:39,Active Club,Maple Karate Club,5 Michael Power Place UNIT 604,Toronto,Shotokan,Victor
2022-12-29 8:50,Active Club,University of Toronto Karate Club,80 Caines Ave,Toronto,Shotokan,Felix
2022-12-29 9:12,Active Club,Goulding Karate Club,80 Caines Ave,Toronto,Shotokan,Felix
2022-12-29 9:51,Active Club,New Hamburg Karate Club,1291 Nafziger Rd,Baden,Chito Ryu,Richard
2022-12-29 10:23,Active Club,Advance Karate,627 Main St E suite 200,Hamilton,Goju Ryu,Michael
2022-12-29 10:39,Active Club,Club Seiryu,c/o NOX Dojo,Markham,Goju Ryu,Sean
2022-12-29 17:26,Active Club,Brunelle Martial Arts,540 Old Tecumseh Rd,Belle River,null,Brian
2022-12-30 14:09,Active Club,TKC Ottawa,180 Percy St.,Ottawa,Shotokan,Toshio
2022-12-30 23:32,Active Club,Zanshin Dojo Karate Club,330 Richmond Street,Chatham,,Daniel
2022-12-31 10:09,Active Club,Ingersoll Goju Ryu Karate,31 Thames St South,Ingersoll,Goju Ryu,Isao
2022-12-31 11:31,Active Club,Sleeping Crow,7315 Yonge st,Innisfil,Shotokan,Raza
2022-12-31 14:49,Active Club,Burlington Chito Ryu,2366 Fassel Ave. Burlington ON L7R3P3,Burlington,Chito Ryu,Deborah
2022-12-31 17:02,Active Club,Copelands Martial Arts & Fitness Center,5-2557 Dougall Ave ,Windsor ,Goju Ryu,Conroy
2022-12-31 17:13,Active Club,Japan Martial Arts Centre,269 Chestnut Ridge,Waterloo,Shito Ryu,Kam
2022-12-31 19:12,Active Club,Forest Heights Community Centre Karate,1700 Queen's Blvd  Kitchener,Kitchener,Shito Ryu,Aron
2023-01-01 12:13,Active Club,Bhavani Shankar Temple Karate Do,90 nexus avenue,Brampton,Shotokan,Pankaj
2023-01-01 14:24,Active Club,DISKA Canada,7 Strathmere Place,Guelph,Shito Ryu,Dumpa
2023-01-02 9:28,Active Club,Ham's Martial Arts,15 Larkin Ave,Markham,Wado Ryu,Michael
2023-01-02 12:19,Active Club,Hoku Shin,801 Atlantic Avenue,ThunderBay,Shotokan,Fred
2023-01-03 0:55,Active Club,International Shotokan Karate,4258 Bloor street west,etobicoke,Shotokan,Karl
2023-01-03 15:37,Active Club,Canadian Wado Ryu Karate Federation,3880 Midland Ave,Scarborough,Wado Ryu,Alex
2023-01-03 21:09,Active Club,Toraguchi Martial Arts,15-785 Pacific Road,Oakville,Goju Ryu,Jonathan
2023-01-04 10:52,Active Club,Furansu Shorin Ryu,65 Queen Mary Cr,London,,Patricia
2023-01-04 20:00,Active Club,Toronto Martial Arts Academy,22 Araman Dr,Scarborough,Shotokan,Pandiarrajah
2023-01-05 1:54,Active Club,R.S.Karate,40 Viceroy rd. Unit 12,Vaughan,Goju Ryu,Roman
2023-01-05 2:34,Active Club,Dynasty Karate Club,116 Horseley Hill drive,Toronto,null,Raza
2023-01-06 11:51,Active Club,Tanzadeh Shitokai,57 Glen Cemeron,Markham,Shito Ryu,Allen
2023-01-06 15:03,Active Club,Goalmax,918 Dundas Street East,Mississauga,Shotokan,Hasan
2023-01-06 16:51,Active Club,Oakville Karate Club,2510 Valleyridge DR.,Oakville,,Panuja
2023-01-07 19:47,Active Club,GKK Canada,455  Sunnyside Blvd,Windsor,Goju Ryu,Sebastian
2023-01-09 0:48,Active Club,National Centre for Karate and Martial Arts,3880 Duke of York Blvd,Mississauga,Shotokan,Samir
2023-01-10 14:19,Active Club,S.M.A. Karate CANADA,11-745 Development Drive,kingston,Goju Ryu Shotokan,Rob
2023-01-10 17:01,Active Club,Global Karate Do,261 Queen Street South,Mississauga,Shotokan,Zvonko
2023-01-10 18:14,Active Club,Satori Dojo,25 Industry St unit #4,Aurora,Goju Ryu,Daryoush
2023-01-10 19:17,Active Club,Kishan Shotokan Karate Club,2,Scarborough,,Sivanesan
2023-01-11 2:14,Active Club,Goju Do Karate,99 glidden rd,Brampton,Goju Ryu,Khosrow
2023-01-11 8:37,Active Club,Renbukan Martial Arts,5063 Main Stree,Bewdley,Wado Ryu,Scott
2023-01-11 9:46,Active Club,Legacy Martial Arts and Fitness,29 Manitou Dr  Unit 1,Kitchener,,Randy
2023-01-12 10:30,Active Club,ICKF (International Chito Ryu Karate & Fitness Inc.),2100 Forbes Unit #7,Whitby,,Ed
2023-01-12 12:31,Active Club,Canada's Best Karate,47-100 Bass Pro Mills Dr,Vaughan,Shotokan,Scott
2023-01-13 14:47,Active Club,Prodigy Martial Arts,1-6991 Millcreek Dr.,Mississauga,Goju Ryu Shito Ryu,Ryan
2023-01-14 18:20,Active Club,Kitchener Karate Academy,2-31 McBrine Dr.,Kitchener,Shotokan,Philip
2023-01-18 14:35,Active Club,Scarborough shito ryu karate and fitness center,5637 Finch Ave East  unit.6,Scarborough,Shito Ryu,Nagulan
2023-01-18 18:07,Active Club,Oshawa Fitness Club,874 Central Park Blvd N,Oshawa,null,Pirabaharan
2023-01-19 11:54,Active Club,Shotokan Karate Thunder Bay,405 205 bwaverly st,Thunder Bay,Shotokan,john
2023-01-19 20:31,Active Club,CMAC Dapo,1010 Dream crest  #8,Mississauga  ,,Jason
2023-01-21 18:28,Active Club,Classical Martial Arts Centre Renge Dojo,1423 Yonge St ,Toronto,Goju Ryu,Patrice
2023-01-22 9:39,Active Club,Marvel Fitness Dojo,6489 King St,Nobleton,Shito Ryu,Abhiraj
2023-01-22 13:32,Active Club,Etobicoke Dojo,639B The Queensway,Etobicoke,Goju Ryu,Paulo
2023-01-24 19:33,Active Club,Kuma Karate-Do,47 Devon Rd.,Toronto,Shotokan,Kenneth
2023-01-25 13:56,Active Club,Nordik Wado Kai,C.P. 1805,Hearst,Wado Ryu,Michel
2023-01-30 15:17,Active Club,Wano Michi,1359 windham rd 3,Vanessa,Wado Ryu,DJ
2023-01-31 10:28,Active Club,Kaede Karate Club,3778 Forest Bluff Crescent,Mississagua,Shotokan,Minh
2023-01-31 20:13,Active Club,Aehcanrab Integrated Martial Arts International,4500 Sheppard Ave East  Unit 36,Scarborough,Goju Ryu Shotokan,Ruben
2023-01-31 20:21,Active Club,Young Men Karate Club,285 Progress Ave,Scarborough,Shito Ryu,Daymara
2023-01-31 20:34,Active Club,Golden Karate Do Martial Arts Organization,512-20  Tuxedo court,Toronto,Shotokan,manoharan
2023-01-31 20:44,Active Club,Montessori School Caledon,2939 Old school rd,Caledon,Shito Ryu,Sivakumar
2023-01-31 21:14,Active Club,Shiva Fighters Karate Do Brampton West,53 Church Street east,Brampton,Shito Ryu,Shiva
2023-01-31 22:37,Active Club,Sam Shotokan Karate,30 Livonia Place,Scarborough,Shito Ryu,Samy
2023-02-07 22:31,Active Club,Kitchener Kicks Martial Arts Centre,50 Ottawa Street South,Kitchener,Shotokan,David
2023-02-12 23:26,Active Club,Higashi School of Karate,89 Curlew Drive,Toronto,Chito Ryu,Shane
2023-02-15 10:28,Active Club,Northern Seishin Karate Academy,1933 Regent St. Unit 46B,Sudbury  ,Goju Ryu,Diane
2023-02-15 21:58,Active Club,enter the tiger isshinryu karate,2 Red Hawk Road,Scarborough,,Rajeevan
2023-02-22 16:33,Active Club,Sudbury KMAC,92 Equinox,Sudbury,,Christian
2023-03-14 12:06,Active Club,Hotshot Athletic Martial Arts,465 Pinebush Rd #7,Cambridge,,Julian
2023-03-18 13:40,Active Club,Musashi Karate Academy,85 Middleton St.,Thamesford,Goju Ryu,Clearance
2023-04-03 9:07,Active Club,Northeast Karate,2159 King St. E,Hamilton,Wado Ryu,Jay
2023-05-17 17:58,Active Club,World Class Karate - JKA,7777 Keele St.,Vaughan,Shotokan,Stan
2023-08-19 14:43,Active Club,Long Sault Karate,42 Barry St. E.,Long Sault,,Mike
2023-09-14 16:35,Active Club,Kyobukan Goju Ryu,222 ISLINGTON AVE,Toronto,Goju Ryu,KEN
2023-09-05 16:08,Active Club,Volk Martial Arts,918 Dundas St E,Mississauga,,Daniel
